OverallDraftNumber,DraftRound,FantasyTeam,Position,Player,Year,Team
62,6,Datsyuk's Dekes,C,Rickard Rakell,2019,ANA
254,22,Datsyuk's Dekes,C,Adam Henrique,2019,ANA
87,8,Every Day I'm Byfuglien,C,Ryan Getzlaf,2019,ANA
220,19,Tronhelm Black Bears,D,Hampus Lindholm,2019,ANA
182,16,Datsyuk's Dekes,D,Josh Manson,2019,ANA
187,16,Takoma Park Holtbeasts,D,Cam Fowler,2019,ANA
141,12,Tronhelm Black Bears,RW,Corey Perry,2019,ANA
230,20,Datsyuk's Dekes,RW,Jakob Silfverberg,2019,ANA
275,23,Datsyuk's Dekes,RW,Ondrej Kase,2019,ANA
97,9,London Bacon Blades,C,Clayton Keller,2019,ARI
162,14,Shat Deuces,C,Derek Stepan,2019,ARI
153,13,Davinci's McDavid,C,Nick Schmaltz,2019,ARI
110,10,Datsyuk's Dekes,D,Oliver Ekman-Larsson,2019,ARI
192,16,London Bacon Blades,LW,Alex Galchenyuk,2019,ARI
236,20,Amesville Aliens,C,David Krejci,2019,BOS
66,6,Shat Deuces,C,Patrice Bergeron,2019,BOS
237,20,Tronhelm Black Bears,D,Zdeno Chara,2019,BOS
268,23,Tronhelm Black Bears,D,John Moore,2019,BOS
90,8,Shat Deuces,D,Torey Krug,2019,BOS
154,13,Every Day I'm Byfuglien,D,Charlie McAvoy,2019,BOS
253,22,Beet Beet Gourde Gourde,LW,Jake DeBrusk,2019,BOS
8,1,Paul North Kariya,LW,Brad Marchand,2019,BOS
243,21,Gritty Gritty Bang Bang,LW,Charlie Coyle,2019,BOS
22,2,Every Day I'm Byfuglien,LW,David Pastrnak,2019,BOS
179,15,Datsyuk's Dekes,C,Sam Reinhart,2019,BUF
6,1,Takoma Park Holtbeasts,C,Jack Eichel,2019,BUF
106,9,Every Day I'm Byfuglien,C,Casey Mittelstadt,2019,BUF
120,10,London Bacon Blades,D,Rasmus Ristolainen,2019,BUF
113,10,Paul North Kariya,D,Rasmus Dahlin,2019,BUF
129,11,Davinci's McDavid,D,Brandon Montour,2019,BUF
137,12,Paul North Kariya,LW,Jeff Skinner,2019,BUF
249,21,Davinci's McDavid,RW,Kyle Okposo,2019,BUF
247,21,Shat Deuces,C,Jordan Staal,2019,CAR
233,20,Paul North Kariya,D,Calvin de Haan,2019,CAR
197,17,Amesville Aliens,D,Justin Faulk,2019,CAR
112,10,Davinci's McDavid,D,Dougie Hamilton,2019,CAR
219,19,Gritty Gritty Bang Bang,D,Jaccob Slavin,2019,CAR
102,9,Takoma Park Holtbeasts,LW,Teuvo Teravainen,2019,CAR
93,8,Tronhelm Black Bears,RW,Andrei Svechnikov,2019,CAR
194,17,Team Game Blouses,RW,Justin Williams,2019,CAR
64,6,Davinci's McDavid,RW,Sebastian Aho,2019,CAR
195,17,Gritty Gritty Bang Bang,RW,Nino Niederreiter,2019,CAR
45,4,Tronhelm Black Bears,C,Artemi Panarin,2019,CBJ
167,14,Team Game Blouses,C,Ryan Dzingel,2019,CBJ
235,20,Takoma Park Holtbeasts,C,Matt Duchene,2019,CBJ
80,7,Paul North Kariya,D,Zach Werenski,2019,CBJ
59,5,Datsyuk's Dekes,D,Seth Jones,2019,CBJ
276,23,Beet Beet Gourde Gourde,LW,Oliver Bjorkstrand,2019,CBJ
272,23,Paul North Kariya,LW,Nick Foligno,2019,CBJ
127,11,Shat Deuces,LW,Pierre-Luc Dubois,2019,CBJ
142,12,Gritty Gritty Bang Bang,RW,Cam Atkinson,2019,CBJ
262,22,Gritty Gritty Bang Bang,RW,Josh Anderson,2019,CBJ
205,18,Beet Beet Gourde Gourde,C,Mikael Backlund,2019,CGY
107,9,Datsyuk's Dekes,C,Sean Monahan,2019,CGY
146,13,Team Game Blouses,D,Mark Giordano,2019,CGY
238,20,Gritty Gritty Bang Bang,D,Noah Hanifin,2019,CGY
85,8,Beet Beet Gourde Gourde,LW,Matthew Tkachuk,2019,CGY
256,22,Davinci's McDavid,LW,James Neal,2019,CGY
43,4,Takoma Park Holtbeasts,LW,Johnny Gaudreau,2019,CGY
103,9,Shat Deuces,C,Jonathan Toews,2019,CHI
156,13,Beet Beet Gourde Gourde,D,Duncan Keith,2019,CHI
212,18,Amesville Aliens,D,Brent Seabrook,2019,CHI
241,21,London Bacon Blades,LW,Brandon Saad,2019,CHI
28,3,Tronhelm Black Bears,RW,Patrick Kane,2019,CHI
98,9,Team Game Blouses,RW,Alex DeBrincat,2019,CHI
257,22,Paul North Kariya,C,Derick Brassard,2019,COL
23,2,Datsyuk's Dekes,C,Nathan MacKinnon,2019,COL
164,14,Amesville Aliens,C,Alexander Kerfoot,2019,COL
244,21,Tronhelm Black Bears,D,Erik Johnson,2019,COL
50,5,Team Game Blouses,D,Tyson Barrie,2019,COL
76,7,Tronhelm Black Bears,LW,Gabriel Landeskog,2019,COL
63,6,Every Day I'm Byfuglien,RW,Mikko Rantanen,2019,COL
218,19,Team Game Blouses,C,Radek Faksa,2019,DAL
263,22,Team Game Blouses,C,Mattias Janmark,2019,DAL
19,2,Shat Deuces,C,Tyler Seguin,2019,DAL
201,17,Davinci's McDavid,D,Esa Lindell,2019,DAL
78,7,Takoma Park Holtbeasts,D,John Klingberg,2019,DAL
34,3,Every Day I'm Byfuglien,LW,Jamie Benn,2019,DAL
165,14,Tronhelm Black Bears,RW,Mats Zuccarello,2019,DAL
46,4,Gritty Gritty Bang Bang,RW,Alexander Radulov,2019,DAL
206,18,Datsyuk's Dekes,C,Andreas Athanasiou,2019,DET
239,20,Team Game Blouses,C,Michael Rasmussen,2019,DET
92,8,Amesville Aliens,C,Dylan Larkin,2019,DET
261,22,Tronhelm Black Bears,D,Mike Green,2019,DET
215,18,Team Game Blouses,LW,Thomas Vanek,2019,DET
116,10,Amesville Aliens,RW,Anthony Mantha,2019,DET
246,21,Takoma Park Holtbeasts,RW,Filip Zadina,2019,DET
73,7,London Bacon Blades,C,Ryan Nugent-Hopkins,2019,EDM
17,2,Amesville Aliens,C,Leon Draisaitl,2019,EDM
9,1,Davinci's McDavid,C,Connor McDavid,2019,EDM
193,17,London Bacon Blades,D,Oscar Klefbom,2019,EDM
207,18,Every Day I'm Byfuglien,D,Darnell Nurse,2019,EDM
209,18,Paul North Kariya,RW,Ty Rattie,2019,EDM
35,3,Datsyuk's Dekes,C,Vincent Trocheck,2019,FLA
44,4,Amesville Aliens,C,Aleksander Barkov,2019,FLA
122,11,Team Game Blouses,D,Aaron Ekblad,2019,FLA
118,10,Gritty Gritty Bang Bang,D,Keith Yandle,2019,FLA
231,20,Every Day I'm Byfuglien,D,Michael Matheson,2019,FLA
136,12,Davinci's McDavid,LW,Mike Hoffman,2019,FLA
123,11,Gritty Gritty Bang Bang,LW,Jonathan Huberdeau,2019,FLA
86,8,Datsyuk's Dekes,RW,Evgenii Dadonov,2019,FLA
36,3,Beet Beet Gourde Gourde,C,Anze Kopitar,2019,L.A
61,6,Beet Beet Gourde Gourde,D,Drew Doughty,2019,L.A
232,20,Davinci's McDavid,D,Dion Phaneuf,2019,L.A
222,19,Takoma Park Holtbeasts,D,Alec Martinez,2019,L.A
117,10,Tronhelm Black Bears,LW,Ilya Kovalchuk,2019,L.A
135,12,Every Day I'm Byfuglien,LW,Dustin Brown,2019,L.A
96,8,London Bacon Blades,RW,Jeff Carter,2019,L.A
159,14,Every Day I'm Byfuglien,RW,Tyler Toffoli,2019,L.A
124,11,Tronhelm Black Bears,C,Kevin Fiala,2019,MIN
189,16,Tronhelm Black Bears,C,Mikko Koivu,2019,MIN
83,7,Datsyuk's Dekes,C,Eric Staal,2019,MIN
101,9,Amesville Aliens,D,Ryan Suter,2019,MIN
79,7,Shat Deuces,D,Matt Dumba,2019,MIN
171,15,Gritty Gritty Bang Bang,D,Jared Spurgeon,2019,MIN
77,7,Amesville Aliens,LW,Jason Zucker,2019,MIN
259,22,Takoma Park Holtbeasts,C,Jesperi Kotkaniemi,2019,MTL
190,16,Gritty Gritty Bang Bang,C,Max Domi,2019,MTL
170,15,Team Game Blouses,D,Shea Weber,2019,MTL
188,16,Amesville Aliens,D,Jeff Petry,2019,MTL
240,20,London Bacon Blades,LW,Tomas Tatar,2019,MTL
221,19,Amesville Aliens,LW,Jonathan Drouin,2019,MTL
178,15,Every Day I'm Byfuglien,RW,Brendan Gallagher,2019,MTL
126,11,Takoma Park Holtbeasts,C,Nico Hischier,2019,N.J
204,17,Beet Beet Gourde Gourde,D,Sami Vatanen,2019,N.J
147,13,Gritty Gritty Bang Bang,D,Will Butcher,2019,N.J
27,3,Gritty Gritty Bang Bang,LW,Taylor Hall,2019,N.J
130,11,Every Day I'm Byfuglien,RW,Kyle Palmieri,2019,N.J
24,2,Beet Beet Gourde Gourde,C,Filip Forsberg,2019,NSH
68,6,Amesville Aliens,C,Mikael Granlund,2019,NSH
225,19,Davinci's McDavid,C,Kyle Turris,2019,NSH
111,10,Every Day I'm Byfuglien,C,Ryan Johansen,2019,NSH
213,18,Tronhelm Black Bears,D,Mattias Ekholm,2019,NSH
38,4,Datsyuk's Dekes,D,P.K. Subban,2019,NSH
88,8,Davinci's McDavid,D,Ryan Ellis,2019,NSH
51,5,Gritty Gritty Bang Bang,D,Roman Josi,2019,NSH
14,2,Team Game Blouses,LW,Wayne Simmonds,2019,NSH
217,19,London Bacon Blades,RW,Craig Smith,2019,NSH
81,7,Davinci's McDavid,RW,Viktor Arvidsson,2019,NSH
140,12,Amesville Aliens,C,Anders Lee,2019,NYI
31,3,Shat Deuces,C,Mathew Barzal,2019,NYI
185,16,Paul North Kariya,D,Nick Leddy,2019,NYI
143,12,Team Game Blouses,D,Ryan Pulock,2019,NYI
266,23,Team Game Blouses,D,Sebastian Aho,2019,NYI
119,10,Team Game Blouses,LW,Josh Bailey,2019,NYI
203,17,Datsyuk's Dekes,RW,Jordan Eberle,2019,NYI
252,21,Beet Beet Gourde Gourde,C,Vladislav Namestnikov,2019,NYR
125,11,Amesville Aliens,D,Kevin Shattenkirk,2019,NYR
196,17,Tronhelm Black Bears,LW,Chris Kreider,2019,NYR
267,23,Gritty Gritty Bang Bang,LW,Pavel Buchnevich,2019,NYR
198,17,Takoma Park Holtbeasts,RW,Mika Zibanejad,2019,NYR
20,2,Paul North Kariya,C,Claude Giroux,2019,PHI
95,8,Team Game Blouses,C,Sean Couturier,2019,PHI
160,14,Davinci's McDavid,C,Travis Konecny,2019,PHI
47,4,Team Game Blouses,D,Shayne Gostisbehere,2019,PHI
115,10,Takoma Park Holtbeasts,D,Ivan Provorov,2019,PHI
133,12,Beet Beet Gourde Gourde,LW,James van Riemsdyk,2019,PHI
39,4,Every Day I'm Byfuglien,RW,Jakub Voracek,2019,PHI
1,1,London Bacon Blades,C,Sidney Crosby,2019,PIT
181,16,Beet Beet Gourde Gourde,C,Nick Bjugstad,2019,PIT
16,2,Tronhelm Black Bears,C,Evgeni Malkin,2019,PIT
169,15,London Bacon Blades,D,Justin Schultz,2019,PIT
60,5,Beet Beet Gourde Gourde,D,Kris Letang,2019,PIT
223,19,Shat Deuces,LW,Jake Guentzel,2019,PIT
100,9,Tronhelm Black Bears,RW,Patric Hornqvist,2019,PIT
2,1,Team Game Blouses,RW,Phil Kessel,2019,PIT
132,11,Beet Beet Gourde Gourde,C,Logan Couture,2019,S.J
176,15,Paul North Kariya,C,Joe Thornton,2019,S.J
74,7,Team Game Blouses,C,Joe Pavelski,2019,S.J
13,2,London Bacon Blades,D,Erik Karlsson,2019,S.J
12,1,Beet Beet Gourde Gourde,D,Brent Burns,2019,S.J
186,16,Shat Deuces,D,Marc-Edouard Vlasic,2019,S.J
69,6,Tronhelm Black Bears,LW,Evander Kane,2019,S.J
177,15,Davinci's McDavid,LW,Tomas Hertl,2019,S.J
149,13,Amesville Aliens,RW,Gustav Nyquist,2019,S.J
183,16,Every Day I'm Byfuglien,RW,Timo Meier,2019,S.J
202,17,Every Day I'm Byfuglien,RW,Kevin Labanc,2019,S.J
82,7,Every Day I'm Byfuglien,C,Brayden Schenn,2019,STL
260,22,Amesville Aliens,D,Vince Dunn,2019,STL
114,10,Shat Deuces,D,Alex Pietrangelo,2019,STL
174,15,Takoma Park Holtbeasts,D,Colton Parayko,2019,STL
264,22,London Bacon Blades,LW,David Perron,2019,STL
229,20,Beet Beet Gourde Gourde,LW,Patrick Maroon,2019,STL
175,15,Shat Deuces,LW,Jaden Schwartz,2019,STL
271,23,Shat Deuces,LW,Alexander Steen,2019,STL
134,12,Datsyuk's Dekes,RW,Ryan O'Reilly,2019,STL
42,4,Shat Deuces,RW,Vladimir Tarasenko,2019,STL
25,3,London Bacon Blades,C,Steven Stamkos,2019,T.B
161,14,Paul North Kariya,C,Tyler Johnson,2019,T.B
139,12,Takoma Park Holtbeasts,C,J.T. Miller,2019,T.B
70,6,Gritty Gritty Bang Bang,C,Brayden Point,2019,T.B
144,12,London Bacon Blades,D,Mikhail Sergachev,2019,T.B
32,3,Paul North Kariya,D,Victor Hedman,2019,T.B
258,22,Shat Deuces,D,Ryan McDonagh,2019,T.B
255,22,Every Day I'm Byfuglien,D,Anton Stralman,2019,T.B
84,7,Beet Beet Gourde Gourde,LW,Yanni Gourde,2019,T.B
228,19,Beet Beet Gourde Gourde,LW,Alex Killorn,2019,T.B
7,1,Shat Deuces,RW,Nikita Kucherov,2019,T.B
4,1,Tronhelm Black Bears,C,John Tavares,2019,TOR
234,20,Shat Deuces,C,Zach Hyman,2019,TOR
57,5,Davinci's McDavid,C,Mitch Marner,2019,TOR
18,2,Takoma Park Holtbeasts,C,Auston Matthews,2019,TOR
94,8,Gritty Gritty Bang Bang,C,Nazem Kadri,2019,TOR
157,14,Beet Beet Gourde Gourde,D,Jake Muzzin,2019,TOR
131,11,Datsyuk's Dekes,D,Morgan Rielly,2019,TOR
150,13,Takoma Park Holtbeasts,D,Jake Gardiner,2019,TOR
191,16,Team Game Blouses,LW,Patrick Marleau,2019,TOR
67,6,Takoma Park Holtbeasts,RW,William Nylander,2019,TOR
121,11,London Bacon Blades,C,Elias Pettersson,2019,VAN
166,14,Gritty Gritty Bang Bang,C,Bo Horvat,2019,VAN
152,13,Paul North Kariya,D,Alexander Edler,2019,VAN
91,8,Takoma Park Holtbeasts,RW,Brock Boeser,2019,VAN
37,4,Beet Beet Gourde Gourde,C,Jonathan Marchessault,2019,VGK
53,5,Amesville Aliens,C,William Karlsson,2019,VGK
210,18,Shat Deuces,C,Paul Stastny,2019,VGK
168,14,London Bacon Blades,D,Colin Miller,2019,VGK
251,21,Datsyuk's Dekes,D,Nate Schmidt,2019,VGK
199,17,Shat Deuces,D,Brayden McNabb,2019,VGK
208,18,Davinci's McDavid,D,Shea Theodore,2019,VGK
48,4,London Bacon Blades,LW,Max Pacioretty,2019,VGK
145,13,London Bacon Blades,LW,Erik Haula,2019,VGK
172,15,Tronhelm Black Bears,RW,Mark Stone,2019,VGK
128,11,Paul North Kariya,RW,Alex Tuch,2019,VGK
75,7,Gritty Gritty Bang Bang,RW,Reilly Smith,2019,VGK
56,5,Paul North Kariya,C,Mark Scheifele,2019,WPG
224,19,Paul North Kariya,C,Bryan Little,2019,WPG
273,23,Davinci's McDavid,C,Mathieu Perreault,2019,WPG
200,17,Paul North Kariya,D,Jacob Trouba,2019,WPG
158,14,Datsyuk's Dekes,D,Tyler Myers,2019,WPG
245,21,Amesville Aliens,D,Josh Morrissey,2019,WPG
58,5,Every Day I'm Byfuglien,D,Dustin Byfuglien,2019,WPG
65,6,Paul North Kariya,LW,Nikolaj Ehlers,2019,WPG
163,14,Takoma Park Holtbeasts,LW,Kyle Connor,2019,WPG
21,2,Davinci's McDavid,RW,Patrik Laine,2019,WPG
214,18,Gritty Gritty Bang Bang,RW,Kevin Hayes,2019,WPG
10,1,Every Day I'm Byfuglien,RW,Blake Wheeler,2019,WPG
41,4,Paul North Kariya,C,Nicklas Backstrom,2019,WSH
33,3,Davinci's McDavid,C,Evgeny Kuznetsov,2019,WSH
227,19,Datsyuk's Dekes,D,Matt Niskanen,2019,WSH
173,15,Amesville Aliens,D,Dmitry Orlov,2019,WSH
55,5,Shat Deuces,D,John Carlson,2019,WSH
274,23,Every Day I'm Byfuglien,D,Brooks Orpik,2019,WSH
216,18,London Bacon Blades,RW,Tom Wilson,2019,WSH
180,15,Beet Beet Gourde Gourde,RW,T.J. Oshie,2019,WSH
3,1,Gritty Gritty Bang Bang,RW,Alex Ovechkin,2019,WSH